country_id,country_code,country_name,region_id,region_name,assistance_category_id,assistance_category_name,transaction_type_id,transaction_type_name,fiscal_year,current_amount,constant_amount
108,BDI,Burundi,5,Sub-Saharan Africa,1,Economic,2,Obligations,2017,10000,9670
108,BDI,Burundi,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,141923,137254
120,CMR,Cameroon,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,2500,2417
140,CAF,Central African Republic,5,Sub-Saharan Africa,1,Economic,2,Obligations,2017,10000,9670
148,TCD,Chad,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,9900,9574
180,COD,Congo (Kinshasa),5,Sub-Saharan Africa,1,Economic,2,Obligations,2017,20000,19340
180,COD,Congo (Kinshasa),5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,7500,7252
204,BEN,Benin,5,Sub-Saharan Africa,1,Economic,2,Obligations,2017,179140,173244
204,BEN,Benin,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,363776,351803
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,165282,159840
262,DJI,Djibouti,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,17457,16881
266,GAB,Gabon,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,5936,5740
288,GHA,Ghana,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,125826,121680
324,GIN,Guinea,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,42804,41395
404,KEN,Kenya,5,Sub-Saharan Africa,1,Economic,2,Obligations,2017,148611,143715
404,KEN,Kenya,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,422401,408498
430,LBR,Liberia,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,388772,375963
454,MWI,Malawi,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,274042,265021
466,MLI,Mali,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,192491,186157
478,MRT,Mauritania,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,144364,139614
480,MUS,Mauritius,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,15500,14989
508,MOZ,Mozambique,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,7000,6769
562,NER,Niger,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,286886,277440
566,NGA,Nigeria,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,327987,317190
646,RWA,Rwanda,5,Sub-Saharan Africa,1,Economic,2,Obligations,2017,30000,29010
646,RWA,Rwanda,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,338582,327437
678,STP,Sao Tome and Principe,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,24400,23594
686,SEN,Senegal,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,232607,224950
694,SLE,Sierra Leone,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,20828,20141
706,SOM,Somalia,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,197611,191105
716,ZWE,Zimbabwe,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,300842,290931
728,SSD,South Sudan,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,137448,132923
800,UGA,Uganda,5,Sub-Saharan Africa,1,Economic,2,Obligations,2017,229168,221620
800,UGA,Uganda,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,552867,534669
834,TZA,Tanzania,5,Sub-Saharan Africa,1,Economic,2,Obligations,2017,284999,275619
834,TZA,Tanzania,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,307434,297314
854,BFA,Burkina Faso,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,301278,291358
894,ZMB,Zambia,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2017,280850,271605
4,AFG,Afghanistan,4,South and Central Asia,1,Economic,2,Obligations,2016,1024314523,1008349715
4,AFG,Afghanistan,4,South and Central Asia,1,Economic,3,Disbursements,2016,1263122571,1243435743
8,ALB,Albania,2,Europe and Eurasia,1,Economic,2,Obligations,2016,15904860,15656949
8,ALB,Albania,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,13071270,12867523
12,DZA,Algeria,3,Middle East and North Africa,1,Economic,2,Obligations,2016,2000000,1968828
12,DZA,Algeria,3,Middle East and North Africa,1,Economic,3,Disbursements,2016,1983881,1952960
24,AGO,Angola,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,46127451,45408498
24,AGO,Angola,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,52439601,51622279
28,ATG,Antigua and Barbuda,6,Western Hemisphere,1,Economic,2,Obligations,2016,3780,3721
28,ATG,Antigua and Barbuda,6,Western Hemisphere,1,Economic,3,Disbursements,2016,3780,3721
31,AZE,Azerbaijan,2,Europe and Eurasia,1,Economic,2,Obligations,2016,10927707,10757384
31,AZE,Azerbaijan,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,11268267,11092634
44,BHS,Bahamas,6,Western Hemisphere,1,Economic,2,Obligations,2016,52786,51962
44,BHS,Bahamas,6,Western Hemisphere,1,Economic,3,Disbursements,2016,51562,50758
50,BGD,Bangladesh,4,South and Central Asia,1,Economic,2,Obligations,2016,212436426,209125361
50,BGD,Bangladesh,4,South and Central Asia,1,Economic,3,Disbursements,2016,237780786,234074732
51,ARM,Armenia,2,Europe and Eurasia,1,Economic,2,Obligations,2016,17187635,16919736
51,ARM,Armenia,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,25919328,25515334
52,BRB,Barbados,6,Western Hemisphere,1,Economic,2,Obligations,2016,4593,4521
52,BRB,Barbados,6,Western Hemisphere,1,Economic,3,Disbursements,2016,4593,4521
64,BTN,Bhutan,4,South and Central Asia,1,Economic,3,Disbursements,2016,291863,287313
68,BOL,Bolivia,6,Western Hemisphere,1,Economic,2,Obligations,2016,12410,12212
68,BOL,Bolivia,6,Western Hemisphere,1,Economic,3,Disbursements,2016,109365,107660
70,BIH,Bosnia and Herzegovina,2,Europe and Eurasia,1,Economic,2,Obligations,2016,37202028,36622169
70,BIH,Bosnia and Herzegovina,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,26187912,25779746
72,BWA,Botswana,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,18932752,18637655
72,BWA,Botswana,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,14191502,13970303
76,BRA,Brazil,6,Western Hemisphere,1,Economic,2,Obligations,2016,2990733,2944119
76,BRA,Brazil,6,Western Hemisphere,1,Economic,3,Disbursements,2016,8332332,8202463
84,BLZ,Belize,6,Western Hemisphere,1,Economic,2,Obligations,2016,1326492,1305814
84,BLZ,Belize,6,Western Hemisphere,1,Economic,3,Disbursements,2016,1258177,1238564
90,SLB,Solomon Islands,1,East Asia and Oceania,1,Economic,2,Obligations,2016,1000000,984414
90,SLB,Solomon Islands,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,622176,612478
96,BRN,Brunei,1,East Asia and Oceania,1,Economic,2,Obligations,2016,27015,26593
100,BGR,Bulgaria,2,Europe and Eurasia,1,Economic,2,Obligations,2016,652433,642264
100,BGR,Bulgaria,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,263341,259237
104,MMR,Burma (Myanmar),1,East Asia and Oceania,1,Economic,2,Obligations,2016,155061563,152644758
104,MMR,Burma (Myanmar),1,East Asia and Oceania,1,Economic,3,Disbursements,2016,124132236,122197510
108,BDI,Burundi,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,61007264,60056391
108,BDI,Burundi,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,44509243,43815517
112,BLR,Belarus,2,Europe and Eurasia,1,Economic,2,Obligations,2016,7085459,6975019
112,BLR,Belarus,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,8505418,8372852
116,KHM,Cambodia,1,East Asia and Oceania,1,Economic,2,Obligations,2016,69029464,67953530
116,KHM,Cambodia,1,East Asia and Oceania,1,Economic,3,Disbursements,2016,76256010,75067460
120,CMR,Cameroon,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,46103198,45384617
120,CMR,Cameroon,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,49274118,48506118
132,CPV,Cabo Verde,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,-2401,-2365
132,CPV,Cabo Verde,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,3937068,3875704
140,CAF,Central African Republic,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,60387404,59446201
140,CAF,Central African Republic,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,64312115,63309748
144,LKA,Sri Lanka,4,South and Central Asia,1,Economic,2,Obligations,2016,12674676,12477129
144,LKA,Sri Lanka,4,South and Central Asia,1,Economic,3,Disbursements,2016,23818372,23447134
148,TCD,Chad,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,48922685,48160181
148,TCD,Chad,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,52401269,51584548
152,CHL,Chile,6,Western Hemisphere,1,Economic,2,Obligations,2016,975930,960718
152,CHL,Chile,6,Western Hemisphere,1,Economic,3,Disbursements,2016,446355,439398
156,CHN,China (P.R.C.),1,East Asia and Oceania,1,Economic,2,Obligations,2016,14467099,14241610
156,CHN,China (P.R.C.),1,East Asia and Oceania,1,Economic,3,Disbursements,2016,16675607,16415700
158,TWN,"China, Republic of (Taiwan)",1,East Asia and Oceania,1,Economic,2,Obligations,2016,700000,689089
158,TWN,"China, Republic of (Taiwan)",1,East Asia and Oceania,1,Economic,3,Disbursements,2016,362173,356528
170,COL,Colombia,6,Western Hemisphere,1,Economic,2,Obligations,2016,188611122,185671427
170,COL,Colombia,6,Western Hemisphere,1,Economic,3,Disbursements,2016,163398130,160851413
174,COM,Comoros,5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,887811,873969
174,COM,Comoros,5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,1150906,1132966
178,COG,Congo (Brazzaville),5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,5922,5830
178,COG,Congo (Brazzaville),5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,1318145,1297601
180,COD,Congo (Kinshasa),5,Sub-Saharan Africa,1,Economic,2,Obligations,2016,340830901,335518709
180,COD,Congo (Kinshasa),5,Sub-Saharan Africa,1,Economic,3,Disbursements,2016,305896547,301128845
188,CRI,Costa Rica,6,Western Hemisphere,1,Economic,2,Obligations,2016,5431790,5347123
188,CRI,Costa Rica,6,Western Hemisphere,1,Economic,3,Disbursements,2016,6286184,6188202
191,HRV,Croatia,2,Europe and Eurasia,1,Economic,2,Obligations,2016,-2015,-1984
191,HRV,Croatia,2,Europe and Eurasia,1,Economic,3,Disbursements,2016,56103,55228
192,CUB,Cuba,6,Western Hemisphere,1,Economic,2,Obligations,2016,6383989,6284491
192,CUB,Cuba,6,Western Hemisphere,1,Economic,3,Disbursements,2016,2236004,2201153
